classe_obf	typedef_index	nom_clair	score	methode	statut	note
		Com.Ankama.Dofus.Server.Game.Protocol.Card.CardViewRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Card.CardViewResponse			À_CLASSER	0 candidat de même forme dans Ankama.Dofus.Protocol.Game.dll (forme=((), (), (), ((((),),),)))
		Com.Ankama.Dofus.Server.Game.Protocol.Card.ChangeBackgroundCardRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Card.ChangeBackgroundCardResponse			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Card.ChangeEnabledViewResponse			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Card.ChangeHighlightedJobsResponse			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Challenge.ChallengeListEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Challenge.ChallengeNumberEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Challenge.ChallengeReadyRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Challenge.ChallengeSelectedEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Character.CharacterCharacteristicUpgradeResultEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Character.CharacterExperienceGainEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Character.CharacterLifeStatusEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Character.CharacterOnConnectionEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Character.Management.CharacterDeletionErrorEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Character.Management.CharacterNameGenerationFailedEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Character.Management.CharacterSelectionEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Chat.ChatErrorEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Chat.ChatPrivateCopyMessageEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Chat.MonsterGroup			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Choice.ChoiceCancelRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Choice.ChoiceCancelResponse			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Choice.FightChoiceSelectionEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Click.ClickStopListeningEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Client.Verification.ClientChallengeProofRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Client.Verification.ServerSessionReadyEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.ActorPositionInformation			À_CLASSER	0 candidat de même forme dans Ankama.Dofus.Protocol.Game.dll (forme=((((), ((),), ((((), ()),),)), (((),), ((),))),))
		Com.Ankama.Dofus.Server.Game.Protocol.Common.AlignmentInformation			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.AllianceInformation			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.BidActivity			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.Challenge			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.ChallengeTarget			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.Character			À_CLASSER	0 candidat de même forme dans Ankama.Dofus.Protocol.Game.dll (forme=(((((),),), (((), ()),)),))
		Com.Ankama.Dofus.Server.Game.Protocol.Common.CharacterCharacteristicValue			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.CharacterRemodelingInformation			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Common.CharacterStatus			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
