nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
	hkj+hkh	.hkh		1:int32:ehdb;2:int64:ehdc	refs/dofus-deobfs/protos/filtered/hkj.proto:5
	hkk	hkk		1:int32:ehdk	refs/dofus-deobfs/protos/filtered/hkk.proto:3
	hkn	hkn		1:hkm:ehdp;2:string:ehdq	refs/dofus-deobfs/protos/filtered/hkn.proto:4
	hko	hko		1:bool:ehdu	refs/dofus-deobfs/protos/filtered/hko.proto:3
	hkp	hkp		1:string:ehdy;2:hkm:ehdz	refs/dofus-deobfs/protos/filtered/hkp.proto:4
	hkr	hkr		1:int32:ehee	refs/dofus-deobfs/protos/filtered/hkr.proto:3
	hkt	hkt		1:int64:ehej;2:int32:ehek;3:bool:ehel	refs/dofus-deobfs/protos/filtered/hkt.proto:3
	hku	hku		1:int32:ehep;2:bool:eheq	refs/dofus-deobfs/protos/filtered/hku.proto:3
	hkv	hkv		1:int64:eheu	refs/dofus-deobfs/protos/filtered/hkv.proto:3
	hkw	hkw			refs/dofus-deobfs/protos/filtered/hkw.proto:3
	hkx	hkx			refs/dofus-deobfs/protos/filtered/hkx.proto:3
	hky	hky		1:int32:ehfe;2:int64:ehff;3:int64:ehfg	refs/dofus-deobfs/protos/filtered/hky.proto:3
	hkz	hkz		1:int64:ehfk;2:int64:ehfl	refs/dofus-deobfs/protos/filtered/hkz.proto:3
	hla	hla		1:int32:ehfp;2:int64:ehfq;3:int64:ehfr	refs/dofus-deobfs/protos/filtered/hla.proto:3
	hlb	hlb		1:int32:ehfv;2:int64:ehfw;3:int64:ehfx;4:bool:ehfy	refs/dofus-deobfs/protos/filtered/hlb.proto:3
	hlc	hlc		1:int64:ehgc;2:int64:ehgd;3:int64:ehge;4:int64:ehgf	refs/dofus-deobfs/protos/filtered/hlc.proto:3
	hld	hld		1:int64:ehgj;2:int64:ehgk	refs/dofus-deobfs/protos/filtered/hld.proto:3
	hle	hle		1:jiy:ehgo	refs/dofus-deobfs/protos/filtered/hle.proto:4
	hlf	hlf		1:int32:ehgs	refs/dofus-deobfs/protos/filtered/hlf.proto:3
	hlg	hlg		1:int64:ehgw;2:int32:ehgx;3:int32:ehgy;4:int32:ehgz;5:jdf:ehha	refs/dofus-deobfs/protos/filtered/hlg.proto:4
	hlh	hlh		1:int64:ehhe;2:jcl:ehhf;3:int64:ehhg;4:int32:ehhh	refs/dofus-deobfs/protos/filtered/hlh.proto:4
	hli	hli		1:int64:ehhm;2:jcl:ehhn	refs/dofus-deobfs/protos/filtered/hli.proto:4
	hlk	hlk			refs/dofus-deobfs/protos/filtered/hlk.proto:3
	hll	hll		1:int32:ehhv	refs/dofus-deobfs/protos/filtered/hll.proto:3
	hlm	hlm		1:int32:ehhz	refs/dofus-deobfs/protos/filtered/hlm.proto:3
	hln	hln		1:int32:ehid;2:int32:ehie	refs/dofus-deobfs/protos/filtered/hln.proto:3
	hlo	hlo			refs/dofus-deobfs/protos/filtered/hlo.proto:3
	hlp	hlp			refs/dofus-deobfs/protos/filtered/hlp.proto:3
	hlq	hlq		1:int32:ehio;2:int32:ehip	refs/dofus-deobfs/protos/filtered/hlq.proto:3
	hlr	hlr		1:int32:ehit;2:int32:ehiu	refs/dofus-deobfs/protos/filtered/hlr.proto:3
	hls	hls		1:repeated int32:ehiy	refs/dofus-deobfs/protos/filtered/hls.proto:3
	hlv	hlv		1:repeated hlt:ehjh;2:repeated hmf:ehji;3:repeated int32:ehjj;4:int64:ehjk	refs/dofus-deobfs/protos/filtered/hlv.proto:4
	hlv+hlt	.hlt		1:int32:ehjc;2:int32:ehjd	refs/dofus-deobfs/protos/filtered/hlv.proto:9
	hlw	hlw		1:int32:ehjp	refs/dofus-deobfs/protos/filtered/hlw.proto:3
