nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
WrapperObjectDissociateRequest	WrapperObjectDissociateRequest	hhk	C2S	1:int:eafg;2:int:eafh;3:Dictionary<string, long>:eafi	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhk.cs:10
ActivitySuggestionsEvent	ActivitySuggestionsEvent	hhm	S2C	1:List<int>:eafn;2:List<int>:eafo	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhm.cs:10
ActivitySuggestionsRequest	ActivitySuggestionsRequest	hhn	C2S	1:int:eafs;2:int:eaft;3:int:eafu;4:int:eafv;5:int:eafw	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhn.cs:10
ActivityHideRequest	ActivityHideRequest	hho	C2S	1:int:eaga	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hho.cs:10
ActivityLockRequest	ActivityLockRequest	hhp	C2S	1:int:eage	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhp.cs:10
SpellVariantActivationEvent	SpellVariantActivationEvent	hhr	S2C	1:bool:eagj;2:string:eagk;3:int:eagm	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhr.cs:10
ForgettableSpellEquipmentSlotsEvent	ForgettableSpellEquipmentSlotsEvent	hhs	S2C	1:int:eagq	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhs.cs:10
SpellItem	SpellItem	hht		1:Dictionary<string, string>:eagu;2:bool:available;3:int:spell_level;4:int:spell_id	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hht.cs:10
ForgettableSpellDeletionEvent	ForgettableSpellDeletionEvent	hhw	S2C	1:Hhu:eahc;2:List<int>:eahd	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhw.cs:10
RemoveSpellModifierEvent	RemoveSpellModifierEvent	hhx	S2C	1:Jds:eahh;2:int:eahi;3:long:eahj;4:Jdr:eahk;5:Jdr:eahl	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhx.cs:10
ForgettableSpellActionRequest	ForgettableSpellActionRequest	hia	C2S	1:int:eahp;2:Hhy:eahq	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hia.cs:10
SpellVariantActivationRequest	SpellVariantActivationRequest	hib	C2S	1:Dictionary<bool, int>:eahu;2:int:eahv	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hib.cs:10
ApplySpellModifierEvent	ApplySpellModifierEvent	hic	S2C	1:long:eahz;2:SpellModifier:eaia	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hic.cs:10
ForgettableSpellsEvent	ForgettableSpellsEvent	hif	S2C	1:Hid:eaie;2:List<SpellItem>:eaif	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hif.cs:10
SpellsEvent	SpellsEvent	hig	S2C	1:bool:spell_visualisation;2:List<SpellItem>:human_spells;3:List<SpellItem>:mutant_spells;4:List<int>:eaim	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hig.cs:10
SetMoodRequest	SetMoodRequest	hii	C2S	1:int:eair;2:Dictionary<bool, bool>:eais	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hii.cs:10
SpouseStatusEvent	SpouseStatusEvent	hij	S2C	1:bool:eaiw	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hij.cs:10
PvpEnableSetRequest	PvpEnableSetRequest	hik	C2S	1:bool:eaja	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hik.cs:10
MoodUpdateEvent	MoodUpdateEvent	hil	S2C	1:long:eaje;2:long:eajf;3:int:eajg	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hil.cs:10
SelfAttackableStatusUpdateEvent	SelfAttackableStatusUpdateEvent	him	S2C	1:int:eajk;2:int:eajl;3:long:eajm;4:Jcu:eajn	refs/otomai/libs/Bubble.Shared/Protocol/Game/Him.cs:10
SubscribeSpouseCompassRequest	SubscribeSpouseCompassRequest	hin	C2S	1:bool:eajr	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hin.cs:10
PlayersMapAttackableStatusUpdateEvent	PlayersMapAttackableStatusUpdateEvent	hiq	S2C	1:List<Hio>:eakf	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hiq.cs:10
Hio	PlayersMapAttackableStatusUpdateEvent+Hio	.hio		1:long:eajv;2:long:eajw;3:Jcu:eajx;4:int:eajy;5:int:eajz;6:List<bool>:eakb	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hiq.cs:21
JoinFriendRequest	JoinFriendRequest	hir	C2S	1:long:eakj	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hir.cs:10
JoinSpouseRequest	JoinSpouseRequest	his	C2S		refs/otomai/libs/Bubble.Shared/Protocol/Game/His.cs:10
DiceRollRequest	DiceRollRequest	hit	C2S	1:int:eakq;2:int:eakr;3:string:eaks	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hit.cs:10
AlignmentRankUpdateEvent	AlignmentRankUpdateEvent	hiu	S2C	1:bool:eakx;2:int:eaky	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hiu.cs:10
SpouseInformationRequest	SpouseInformationRequest	hiv	C2S		refs/otomai/libs/Bubble.Shared/Protocol/Game/Hiv.cs:10
SetMoodEvent	SetMoodEvent	hiy	S2C	1:int:ealf;2:Hiw:ealg	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hiy.cs:10
AdditionalSmileyEvent	AdditionalSmileyEvent	hiz	S2C	1:List<int>:ealk	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hiz.cs:10
SpouseInformationEvent	SpouseInformationEvent	hjc	S2C	1:int:ealw;2:int:ealx;3:AllianceInformation:ealy;4:GuildInformation:ealz;5:string:eama;6:Hja:eamb;7:Gender:eamc;8:EntityLook:eamd;9:long:eame;10:Jcr:eamf;11:long:eamg	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hjc.cs:10
