nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
AllianceModificationStartedEvent	com.ankama.dofus.server.game.protocol.alliance.information.AllianceModificationStartedEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceModificationStartedEvent	S2C	1:bool:can_change_name;2:bool:can_change_tag;3:bool:can_change_emblem	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:39
AllianceCreationResultEvent	com.ankama.dofus.server.game.protocol.alliance.information.AllianceCreationResultEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceCreationResultEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.SocialGroupOperationResult:result	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:45
AllianceModificationResultEvent	com.ankama.dofus.server.game.protocol.alliance.information.AllianceModificationResultEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceModificationResultEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.SocialGroupOperationResult:result	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:49
AllianceInsiderInformationRequest	com.ankama.dofus.server.game.protocol.alliance.information.AllianceInsiderInformationRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceInsiderInformationRequest	C2S		refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:53
AllianceFactsRequest	com.ankama.dofus.server.game.protocol.alliance.information.AllianceFactsRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceFactsRequest	C2S	1:string:alliance_uuid	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:56
AllianceSummaryRequest	com.ankama.dofus.server.game.protocol.alliance.information.AllianceSummaryRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceSummaryRequest	C2S	1:int64:offset;2:int64:count;3:.com.ankama.dofus.server.game.protocol.alliance.information.AllianceSummaryRequest.DirectoryTextFilter:filter_type;4:string:text_filer;5:bool:hide_full_filter;6:bool:following_alliance_criteria;7:repeated int32:criterion_filter;8:.com.ankama.dofus.server.game.protocol.alliance.information.AllianceSummaryRequest.AllianceSummarySort:sort_type;9:bool:sort_descending;10:repeated int32:languages_filter;11:repeated .com.ankama.dofus.server.game.protocol.common.SocialRecruitmentType:recruitment_type_filter;12:int32:min_player_level_filter;13:int32:max_player_level_filter	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:60
AllianceInsiderInformationEvent	com.ankama.dofus.server.game.protocol.alliance.information.AllianceInsiderInformationEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceInsiderInformationEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.AllianceInformation:information;2:repeated .com.ankama.dofus.server.game.protocol.common.AllianceMemberInformation:members;3:repeated .com.ankama.dofus.server.game.protocol.common.PrismLocalizedInformation:prisms;4:repeated .com.ankama.dofus.server.game.protocol.common.TaxCollectorInformation:tax_collectors	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:89
AllianceFactsErrorEvent	com.ankama.dofus.server.game.protocol.alliance.information.AllianceFactsErrorEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceFactsErrorEvent	S2C	1:string:alliance_uuid	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:96
AllianceFactsEvent	com.ankama.dofus.server.game.protocol.alliance.information.AllianceFactsEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceFactsEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.AllianceInformation:alliance_information;2:repeated .com.ankama.dofus.server.game.protocol.common.Character:members;3:repeated int32:controlled_subarea_ids;4:int64:leader_id;5:string:leader_name	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:100
AllianceSummaryEvent	com.ankama.dofus.server.game.protocol.alliance.information.AllianceSummaryEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceSummaryEvent	S2C	1:int64:offset;2:int64:count;3:int64:total;4:repeated .com.ankama.dofus.server.game.protocol.common.AllianceInformation:alliances	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:108
AllianceMotdSetRequest	com.ankama.dofus.server.game.protocol.alliance.information.AllianceMotdSetRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceMotdSetRequest	C2S	1:string:content	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:115
AllianceMotdEvent	com.ankama.dofus.server.game.protocol.alliance.information.AllianceMotdEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceMotdEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.SocialNoticeInformation:motd_info	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:119
AllianceMotdSetErrorEvent	com.ankama.dofus.server.game.protocol.alliance.information.AllianceMotdSetErrorEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceMotdSetErrorEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.SocialNoticeError:reason	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:123
AllianceBulletinSetRequest	com.ankama.dofus.server.game.protocol.alliance.information.AllianceBulletinSetRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceBulletinSetRequest	C2S	1:string:content	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:127
AllianceBulletinEvent	com.ankama.dofus.server.game.protocol.alliance.information.AllianceBulletinEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceBulletinEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.SocialNoticeInformation:bulletin_info	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:131
AllianceBulletinSetErrorEvent	com.ankama.dofus.server.game.protocol.alliance.information.AllianceBulletinSetErrorEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceBulletinSetErrorEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.SocialNoticeError:reason	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:135
AllianceInvitationRequest	com.ankama.dofus.server.game.protocol.alliance.member.AllianceInvitationRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.member.AllianceInvitationRequest	C2S	1:int64:character_id	refs/dofus-unity-protocol-builder/proto/game/alliance_member.proto:9
AllianceInvitationAnswerRequest	com.ankama.dofus.server.game.protocol.alliance.member.AllianceInvitationAnswerRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.member.AllianceInvitationAnswerRequest	C2S	1:bool:accepted	refs/dofus-unity-protocol-builder/proto/game/alliance_member.proto:13
AllianceKickRequest	com.ankama.dofus.server.game.protocol.alliance.member.AllianceKickRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.member.AllianceKickRequest	C2S	1:int64:kicked_id	refs/dofus-unity-protocol-builder/proto/game/alliance_member.proto:17
AllianceInvitedEvent	com.ankama.dofus.server.game.protocol.alliance.member.AllianceInvitedEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.member.AllianceInvitedEvent	S2C	1:string:recruiter_name;2:.com.ankama.dofus.server.game.protocol.common.AllianceInformation:alliance_information	refs/dofus-unity-protocol-builder/proto/game/alliance_member.proto:21
AllianceInvitationStateRecruiterEvent	com.ankama.dofus.server.game.protocol.alliance.member.AllianceInvitationStateRecruiterEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.member.AllianceInvitationStateRecruiterEvent	S2C	1:string:recruited_name;2:.com.ankama.dofus.server.game.protocol.common.SocialGroupInvitationState:invitation_state	refs/dofus-unity-protocol-builder/proto/game/alliance_member.proto:26
AllianceInvitationStateRecruitedEvent	com.ankama.dofus.server.game.protocol.alliance.member.AllianceInvitationStateRecruitedEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.member.AllianceInvitationStateRecruitedEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.SocialGroupInvitationState:invitation_state	refs/dofus-unity-protocol-builder/proto/game/alliance_member.proto:31
AllianceMembershipEvent	com.ankama.dofus.server.game.protocol.alliance.member.AllianceMembershipEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.member.AllianceMembershipEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.AllianceInformation:alliance_information;2:int32:rank_id	refs/dofus-unity-protocol-builder/proto/game/alliance_member.proto:35
AllianceJoinedEvent	com.ankama.dofus.server.game.protocol.alliance.member.AllianceJoinedEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.member.AllianceJoinedEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.AllianceInformation:alliance_information;2:int32:rank_id	refs/dofus-unity-protocol-builder/proto/game/alliance_member.proto:40
AllianceMemberLeavingEvent	com.ankama.dofus.server.game.protocol.alliance.member.AllianceMemberLeavingEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.member.AllianceMemberLeavingEvent	S2C	1:bool:kicked;2:int64:member_id	refs/dofus-unity-protocol-builder/proto/game/alliance_member.proto:45
AllianceLeftEvent	com.ankama.dofus.server.game.protocol.alliance.member.AllianceLeftEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.member.AllianceLeftEvent	S2C		refs/dofus-unity-protocol-builder/proto/game/alliance_member.proto:50
AllianceMemberUpdateEvent	com.ankama.dofus.server.game.protocol.alliance.member.AllianceMemberUpdateEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.member.AllianceMemberUpdateEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.AllianceMemberInformation:member	refs/dofus-unity-protocol-builder/proto/game/alliance_member.proto:53
AllianceRankCreationRequest	com.ankama.dofus.server.game.protocol.alliance.rank.AllianceRankCreationRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.rank.AllianceRankCreationRequest	C2S	1:int32:parent_rank_id;2:int32:gfx_id;3:string:name	refs/dofus-unity-protocol-builder/proto/game/alliance_rank.proto:9
AllianceRankUpdateAllRequest	com.ankama.dofus.server.game.protocol.alliance.rank.AllianceRankUpdateAllRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.rank.AllianceRankUpdateAllRequest	C2S	1:repeated .com.ankama.dofus.server.game.protocol.common.RankInformation:ranks	refs/dofus-unity-protocol-builder/proto/game/alliance_rank.proto:15
AllianceRankDeletionRequest	com.ankama.dofus.server.game.protocol.alliance.rank.AllianceRankDeletionRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.rank.AllianceRankDeletionRequest	C2S	1:int32:rank_id;2:int32:replacement_rank_id	refs/dofus-unity-protocol-builder/proto/game/alliance_rank.proto:19
