enum_nom	fichier:ligne	nb_valeurs	valeurs	version
NicknameErrorEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/NicknameErrorEnum.as:4	5	ALREADY_USED=1;SAME_AS_LOGIN=2;TOO_SIMILAR_TO_LOGIN=3;INVALID_NICK=4;UNKNOWN_NICK_ERROR=99	242
NicknameGeneratingFailureEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/NicknameGeneratingFailureEnum.as:4	2	NICKNAME_GENERATOR_RETRY_TOO_SHORT=1;NICKNAME_GENERATOR_UNAVAILABLE=2	242
ObjectErrorEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/ObjectErrorEnum.as:3	12	INVENTORY_FULL=1;CANNOT_EQUIP_TWICE=2;NOT_TRADABLE=3;CANNOT_DROP=4;CANNOT_DROP_NO_PLACE=5;CANNOT_DESTROY=6;LEVEL_TOO_LOW=7;LIVING_OBJECT_REFUSED_FOOD=8;CANNOT_UNEQUIP=9;CANNOT_EQUIP_HERE=10;CRITERIONS=11;SYMBIOTIC_OBJECT_ERROR=12	242
PartStateEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PartStateEnum.as:4	3	PART_NOT_INSTALLED=0;PART_BEING_UPDATER=1;PART_UP_TO_DATE=2	242
PartyJoinErrorEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PartyJoinErrorEnum.as:3	13	PARTY_JOIN_ERROR_UNKNOWN=0;PARTY_JOIN_ERROR_PLAYER_NOT_FOUND=1;PARTY_JOIN_ERROR_PARTY_NOT_FOUND=2;PARTY_JOIN_ERROR_PARTY_FULL=3;PARTY_JOIN_ERROR_PLAYER_BUSY=4;PARTY_JOIN_ERROR_PLAYER_ALREADY_INVITED=6;PARTY_JOIN_ERROR_PLAYER_TOO_SOLLICITED=7;PARTY_JOIN_ERROR_PLAYER_LOYAL=8;PARTY_JOIN_ERROR_UNMODIFIABLE=9;PARTY_JOIN_ERROR_UNMET_CRITERION=10;PARTY_JOIN_ERROR_NOT_ENOUGH_ROOM=11;PARTY_JOIN_ERROR_COMPOSITION_CHANGED=12;PARTY_JOIN_ERROR_PLAYER_IN_TUTORIAL=13	242
PartyNameErrorEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PartyNameErrorEnum.as:3	5	PARTY_NAME_UNDEFINED_ERROR=0;PARTY_NAME_INVALID=1;PARTY_NAME_ALREADY_USED=2;PARTY_NAME_UNALLOWED_RIGHTS=3;PARTY_NAME_UNALLOWED_NOW=4	242
PartyTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PartyTypeEnum.as:3	4	PARTY_TYPE_UNDEFINED=0;PARTY_TYPE_CLASSICAL=1;PARTY_TYPE_DUNGEON=2;PARTY_TYPE_ARENA=3	242
PlayableBreedEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PlayableBreedEnum.as:3	19	UNDEFINED=0;Feca=1;Osamodas=2;Enutrof=3;Sram=4;Xelor=5;Ecaflip=6;Eniripsa=7;Iop=8;Cra=9;Sadida=10;Sacrieur=11;Pandawa=12;Roublard=13;Zobal=14;Steamer=15;Eliotrope=16;Huppermage=17;Ouginak=18	242
PlayerLifeStatusEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PlayerLifeStatusEnum.as:3	3	STATUS_ALIVE_AND_KICKING=0;STATUS_TOMBSTONE=1;STATUS_PHANTOM=2	242
PlayerStateEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PlayerStateEnum.as:3	4	NOT_CONNECTED=0;GAME_TYPE_ROLEPLAY=1;GAME_TYPE_FIGHT=2;UNKNOWN_STATE=99	242
PlayerStatusEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PlayerStatusEnum.as:3	7	PLAYER_STATUS_OFFLINE=0;PLAYER_STATUS_UNKNOWN=1;PLAYER_STATUS_AVAILABLE=10;PLAYER_STATUS_IDLE=20;PLAYER_STATUS_AFK=21;PLAYER_STATUS_PRIVATE=30;PLAYER_STATUS_SOLO=40	242
PresetDeleteResultEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PresetDeleteResultEnum.as:3	3	PRESET_DEL_OK=1;PRESET_DEL_ERR_UNKNOWN=2;PRESET_DEL_ERR_BAD_PRESET_ID=3	242
PresetSaveResultEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PresetSaveResultEnum.as:3	3	PRESET_SAVE_OK=1;PRESET_SAVE_ERR_UNKNOWN=2;PRESET_SAVE_ERR_TOO_MANY=3	242
PresetSaveUpdateErrorEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PresetSaveUpdateErrorEnum.as:3	4	PRESET_UPDATE_ERR_UNKNOWN=1;PRESET_UPDATE_ERR_BAD_PRESET_ID=2;PRESET_UPDATE_ERR_BAD_POSITION=3;PRESET_UPDATE_ERR_BAD_OBJECT_ID=4	242
PresetUseResultEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PresetUseResultEnum.as:3	6	PRESET_USE_OK=1;PRESET_USE_OK_PARTIAL=2;PRESET_USE_ERR_UNKNOWN=3;PRESET_USE_ERR_CRITERION=4;PRESET_USE_ERR_BAD_PRESET_ID=5;PRESET_USE_ERR_COOLDOWN=6	242
PrismListenEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PrismListenEnum.as:3	3	PRISM_LISTEN_NONE=0;PRISM_LISTEN_MINE=1;PRISM_LISTEN_ALL=2	242
PrismSetSabotagedRefusedReasonEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PrismSetSabotagedRefusedReasonEnum.as:3	7	SABOTAGE_REFUSED=-1;SABOTAGE_INSUFFICIENT_RIGHTS=0;SABOTAGE_MEMBER_ACCOUNT_NEEDED=1;SABOTAGE_RESTRICTED_ACCOUNT=2;SABOTAGE_WRONG_ALLIANCE=3;SABOTAGE_NO_PRISM=4;SABOTAGE_WRONG_STATE=5	242
PrismStateEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PrismStateEnum.as:4	8	PRISM_STATE_INVULNERABLE=0;PRISM_STATE_NORMAL=1;PRISM_STATE_ATTACKED=2;PRISM_STATE_FIGHTING=3;PRISM_STATE_WEAKENED=4;PRISM_STATE_VULNERABLE=5;PRISM_STATE_DEFEATED=6;PRISM_STATE_SABOTAGED=7	242
PvpArenaStepEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PvpArenaStepEnum.as:4	4	ARENA_STEP_REGISTRED=0;ARENA_STEP_WAITING_FIGHT=1;ARENA_STEP_STARTING_FIGHT=2;ARENA_STEP_UNREGISTER=3	242
PvpArenaTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/PvpArenaTypeEnum.as:4	2	ARENA_TYPE_1VS1=1;ARENA_TYPE_3VS3=3	242
SequenceTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/SequenceTypeEnum.as:4	9	SEQUENCE_SPELL=1;SEQUENCE_WEAPON=2;SEQUENCE_GLYPH_TRAP=3;SEQUENCE_TRIGGERED=4;SEQUENCE_MOVE=5;SEQUENCE_CHARACTER_DEATH=6;SEQUENCE_TURN_START=7;SEQUENCE_TURN_END=8;SEQUENCE_FIGHT_START=9	242
