type_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
GuildVersatileInformations	435	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/social/GuildVersatileInformations.as:9	4	guildId:uint;leaderId:Number;guildLevel:uint;nbMembers:uint		guildId:writeVarInt;leaderId:writeVarLong;guildLevel:writeByte;nbMembers:writeByte	client-as3	242
HavenBagFurnitureInformation	498	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/guild/HavenBagFurnitureInformation.as:8	3	cellId:uint;funitureId:int;orientation:uint		cellId:writeVarShort;funitureId:writeInt;orientation:writeByte	client-as3	242
HouseGuildedInformations	512	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/house/HouseGuildedInformations.as:9	1	guildInfo:GuildInformations	HouseInstanceInformations	super:HouseInstanceInformations;guildInfo:asGuildInformations	client-as3	242
HouseInformations	111	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/house/HouseInformations.as:8	2	houseId:uint;modelId:uint		houseId:writeVarInt;modelId:writeVarShort	client-as3	242
HouseInformationsForGuild	170	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/house/HouseInformationsForGuild.as:8	9	instanceId:uint;secondHand:Boolean;ownerName:String;worldX:int;worldY:int;mapId:int;subAreaId:uint;skillListIds:Vector.<int>;guildshareParams:uint	HouseInformations	super:HouseInformations;instanceId:writeInt;secondHand:writeBoolean;ownerName:writeUTF;worldX:writeShort;worldY:writeShort;mapId:writeInt;subAreaId:writeVarShort;skillListIds#len:writeShort;skillListIds[]:writeInt;guildshareParams:writeVarInt	client-as3	242
HouseInformationsForSell	221	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/house/HouseInformationsForSell.as:8	13	instanceId:uint;secondHand:Boolean;modelId:uint;ownerName:String;ownerConnected:Boolean;worldX:int;worldY:int;subAreaId:uint;nbRoom:int;nbChest:int;skillListIds:Vector.<int>;isLocked:Boolean;price:Number		instanceId:writeInt;secondHand:writeBoolean;modelId:writeVarInt;ownerName:writeUTF;ownerConnected:writeBoolean;worldX:writeShort;worldY:writeShort;subAreaId:writeVarShort;nbRoom:writeByte;nbChest:writeByte;skillListIds#len:writeShort;skillListIds[]:writeInt;isLocked:writeBoolean;price:writeVarLong	client-as3	242
HouseInformationsInside	218	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/house/HouseInformationsInside.as:9	3	houseInfos:HouseInstanceInformations;worldX:int;worldY:int	HouseInformations	super:HouseInformations;#typeId:writeShort;houseInfos:serialize;worldX:writeShort;worldY:writeShort	client-as3	242
HouseInstanceInformations	511	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/house/HouseInstanceInformations.as:9	6	instanceId:uint;secondHand:Boolean;isLocked:Boolean;ownerName:String;price:Number;isSaleLocked:Boolean		secondHand:bit0;isLocked:bit1;isSaleLocked:bit2;#local:writeByte;instanceId:writeInt;ownerName:writeUTF;price:writeVarLong	client-as3	242
HouseOnMapInformations	510	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/house/HouseOnMapInformations.as:8	2	doorsOnMap:Vector.<uint>;houseInstances:Vector.<HouseInstanceInformations>	HouseInformations	super:HouseInformations;doorsOnMap#len:writeShort;doorsOnMap[]:writeInt;houseInstances#len:writeShort;houseInstances[]:asHouseInstanceInformations	client-as3	242
HumanInformations	157	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/HumanInformations.as:10	3	restrictions:ActorRestrictionsInformations;sex:Boolean;options:Vector.<HumanOption>		restrictions:asActorRestrictionsInformations;sex:writeBoolean;options#len:writeShort;options[]#typeId:writeShort;options[]:serialize	client-as3	242
