nature	nom_a	nom_b	id_a	id_b	detail	build_a	build_b
AJOUTE		GameRolePlayMonsterNotAngryAtPlayerMessage		5585		242	273
AJOUTE		GroupTeleportPlayerAnswerMessage		1816		242	273
AJOUTE		GroupTeleportPlayerCloseMessage		2716		242	273
AJOUTE		GroupTeleportPlayerOfferMessage		3076		242	273
AJOUTE		GuildApplicationAnswerMessage		3927		242	273
AJOUTE		GuildApplicationDeletedMessage		8782		242	273
AJOUTE		GuildApplicationIsAnsweredMessage		3637		242	273
AJOUTE		GuildApplicationListenMessage		5367		242	273
AJOUTE		GuildApplicationPresenceMessage		9885		242	273
AJOUTE		GuildApplicationReceivedMessage		8148		242	273
AJOUTE		GuildChestTabContributionMessage		8050		242	273
AJOUTE		GuildChestTabContributionsMessage		753		242	273
AJOUTE		GuildChestTabLastContributionMessage		683		242	273
AJOUTE		GuildDeleteApplicationRequestMessage		7132		242	273
AJOUTE		GuildGetChestTabContributionsRequestMessage		5518		242	273
AJOUTE		GuildGetPlayerApplicationMessage		5398		242	273
AJOUTE		GuildIsThereAnyApplicationMessage		5069		242	273
AJOUTE		GuildJoinAutomaticallyRequestMessage		2737		242	273
AJOUTE		GuildListApplicationAnswerMessage		948		242	273
AJOUTE		GuildListApplicationModifiedMessage		7224		242	273
AJOUTE		GuildListApplicationRequestMessage		695		242	273
AJOUTE		GuildLogbookInformationMessage		7376		242	273
AJOUTE		GuildLogbookInformationRequestMessage		319		242	273
AJOUTE		GuildMemberStartWarnOnConnectionMessage		6143		242	273
AJOUTE		GuildMemberStopWarnOnConnectionMessage		8625		242	273
AJOUTE		GuildModificationResultMessage		775		242	273
AJOUTE		GuildPlayerApplicationAbstractMessage		4745		242	273
AJOUTE		GuildPlayerApplicationInformationMessage		656		242	273
AJOUTE		GuildPlayerNoApplicationInformationMessage		6961		242	273
AJOUTE		GuildRanksMessage		3908		242	273
AJOUTE		GuildRanksRequestMessage		5381		242	273
AJOUTE		GuildRecruitmentInvalidateMessage		5184		242	273
AJOUTE		GuildSelectChestTabRequestMessage		7367		242	273
AJOUTE		GuildSubmitApplicationMessage		2378		242	273
AJOUTE		GuildSummaryMessage		156		242	273
AJOUTE		GuildSummaryRequestMessage		1163		242	273
AJOUTE		GuildUpdateApplicationMessage		7570		242	273
AJOUTE		GuildUpdateChestTabRequestMessage		6464		242	273
AJOUTE		GuildUpdateNoteMessage		7051		242	273
AJOUTE		HaapiAuthErrorMessage		349		242	273
AJOUTE		HaapiBufferListMessage		3		242	273
AJOUTE		HaapiBufferListRequestMessage		4581		242	273
AJOUTE		HaapiBuyValidationMessage		1448		242	273
AJOUTE		HaapiCancelBidRequestMessage		6447		242	273
AJOUTE		HaapiConfirmationMessage		5031		242	273
AJOUTE		HaapiConfirmationRequestMessage		7674		242	273
AJOUTE		HaapiConsumeBufferRequestMessage		2127		242	273
AJOUTE		HaapiSessionMessage		4199		242	273
AJOUTE		HaapiShopApiKeyMessage		1934		242	273
AJOUTE		HaapiShopApiKeyRequestMessage		9104		242	273
AJOUTE		HaapiValidationMessage		7090		242	273
AJOUTE		HaapiValidationRequestMessage		2930		242	273
AJOUTE		HavenBagRoomUpdateMessage		5461		242	273
AJOUTE		IconNamedPresetSaveRequestMessage		6922		242	273
AJOUTE		IconPresetSaveRequestMessage		6591		242	273
AJOUTE		InvalidPresetsMessage		1001		242	273
AJOUTE		ItemForPresetUpdateMessage		6815		242	273
AJOUTE		KnownZaapListMessage		5253		242	273
AJOUTE		KothEndMessage		506		242	273
AJOUTE		ListMapNpcsQuestStatusUpdateMessage		5023		242	273
AJOUTE		ListenersOfSynchronizedStorageMessage		8036		242	273
AJOUTE		MapComplementaryInformationsAnomalyMessage		7688		242	273
AJOUTE		MapComplementaryInformationsBreachMessage		4428		242	273
AJOUTE		MoveTaxCollectorOrderedSpellMessage		8918		242	273
AJOUTE		MoveTaxCollectorPresetSpellMessage		6548		242	273
AJOUTE		MultiTabStorageMessage		7356		242	273
AJOUTE		NuggetsDistributionMessage		3417		242	273
AJOUTE		NuggetsInformationMessage		5214		242	273
AJOUTE		OpenGuideBookMessage		9970		242	273
AJOUTE		OpponentSurrenderMessage		6059		242	273
AJOUTE		OrnamentLostMessage		2799		242	273
AJOUTE		PaginationAnswerAbstractMessage		1468		242	273
AJOUTE		PaginationRequestAbstractMessage		6633		242	273
AJOUTE		PartyMemberInBreachFightMessage		2380		242	273
AJOUTE		PartyMemberInStandardFightMessage		8285		242	273
AJOUTE		PopupWarningCloseRequestMessage		663		242	273
AJOUTE		PopupWarningClosedMessage		2757		242	273
AJOUTE		PortalDialogCreationMessage		6302		242	273
AJOUTE		PresetDeleteRequestMessage		7052		242	273
AJOUTE		PresetDeleteResultMessage		6319		242	273
AJOUTE		PresetSaveErrorMessage		7630		242	273
AJOUTE		PresetSavedMessage		889		242	273
AJOUTE		PresetUseRequestMessage		7506		242	273
AJOUTE		PresetUseResultMessage		799		242	273
AJOUTE		PresetUseResultWithMissingIdsMessage		5059		242	273
AJOUTE		PresetsMessage		8873		242	273
AJOUTE		PrismAddOrUpdateMessage		1525		242	273
AJOUTE		PrismAttackResultMessage		8541		242	273
AJOUTE		PrismAttackedMessage		48		242	273
AJOUTE		PrismExchangeRequestMessage		1588		242	273
AJOUTE		PrismRecycleTradeRequestMessage		299		242	273
AJOUTE		PrismRemoveMessage		4672		242	273
AJOUTE		PrismTeleportationRequestMessage		7355		242	273
AJOUTE		RecruitmentInformationMessage		8248		242	273
AJOUTE		ReleaseAccountMessage		3259		242	273
AJOUTE		RemoveGuildRankRequestMessage		5524		242	273
AJOUTE		RemoveListenerOnSynchronizedStorageMessage		91		242	273
AJOUTE		RemoveSpellModifierMessage		194		242	273
AJOUTE		RemoveTaxCollectorOrderedSpellMessage		9951		242	273
AJOUTE		RemoveTaxCollectorPresetSpellMessage		5781		242	273
AJOUTE		ReportRequestMessage		8254		242	273
AJOUTE		ReportResponseMessage		8138		242	273
AJOUTE		ResetCharacterStatsRequestMessage		7045		242	273
AJOUTE		SlaveNoLongerControledMessage		1268		242	273
AJOUTE		SocialFightJoinRequestMessage		335		242	273
AJOUTE		SocialFightLeaveRequestMessage		995		242	273
AJOUTE		SocialFightTakePlaceRequestMessage		7755		242	273
AJOUTE		StartExchangeTaxCollectorEquipmentMessage		878		242	273
AJOUTE		StartGuildChestContributionMessage		9862		242	273
AJOUTE		StartListenAllianceFightMessage		448		242	273
AJOUTE		StartListenGuildChestStructureMessage		9892		242	273
AJOUTE		StartListenNuggetsMessage		4559		242	273
AJOUTE		StartListenTaxCollectorPresetsUpdatesMessage		3876		242	273
AJOUTE		StartListenTaxCollectorUpdatesMessage		659		242	273
AJOUTE		StopGuildChestContributionMessage		1053		242	273
AJOUTE		StopListenAllianceFightMessage		6339		242	273
AJOUTE		StopListenGuildChestStructureMessage		3081		242	273
AJOUTE		StopListenNuggetsMessage		4818		242	273
AJOUTE		StopListenTaxCollectorPresetsUpdatesMessage		4043		242	273
AJOUTE		StopListenTaxCollectorUpdatesMessage		4576		242	273
AJOUTE		SubareaRewardRateMessage		1678		242	273
AJOUTE		SurrenderInfoRequestMessage		4015		242	273
AJOUTE		SurrenderInfoResponseMessage		99		242	273
AJOUTE		SurrenderStateMessage		6944		242	273
AJOUTE		SurrenderVoteCastMessage		4209		242	273
AJOUTE		SurrenderVoteEndMessage		6083		242	273
AJOUTE		SurrenderVoteStartMessage		6177		242	273
AJOUTE		SurrenderVoteUpdateMessage		6154		242	273
AJOUTE		SwitchArenaXpRewardsModeMessage		4870		242	273
AJOUTE		TaxCollectorAddedMessage		7370		242	273
AJOUTE		TaxCollectorEquipmentUpdateMessage		2451		242	273
AJOUTE		TaxCollectorHarvestedMessage		3704		242	273
AJOUTE		TaxCollectorOrderedSpellUpdatedMessage		2428		242	273
AJOUTE		TaxCollectorPresetSpellUpdatedMessage		2628		242	273
AJOUTE		TaxCollectorPresetsMessage		9900		242	273
AJOUTE		TaxCollectorRemovedMessage		2310		242	273
AJOUTE		TeleportDestinationsMessage		7615		242	273
AJOUTE		TeleportPlayerAnswerMessage		4603		242	273
